co_cnes;nm_fant;bairro;distrito;gestao;atend_sus;tipo_und;nat_jur;co_ibge;lat;long
2009900;CLINICA INFANTIL DE AL DRA DAISY BREDA;LEVADA;2;E;1;07;Público;270430;-9.65736;-35.75816
2719991;FARMACIA DE MEDICAMENTOS EXCEPCIONAIS;FAROL;3;E;1;43;Público;270430;-9.64376;-35.73566
2720035;HOSPITAL ESCOLA DR HELVIO AUTO;TRAPICHE DA BARRA;2;E;1;07;Público;270430;-9.66496;-35.74518
2720094;MODULO ODONTOLOGICO RAIMUNDO MARINHO;JACINTINHO;5;E;1;36;Público;270430;-9.66625;-35.73509
5335426;CENTRO DE PATOLOGIA E MEDICINA LABORATORIAL;TRAPICHE DA BARRA;2;E;1;39;Público;270430;-9.67413;-35.75888
5582016;SECRETARIA DE ESTADO DE SAUDE DE ALAGOAS;JARAGUA;1;E;1;68;Público;270430;-9.54211;-35.74826
6250629;CASA DE CUSTODIA DA CAPITAL;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.64868;-35.74615
6489699;AMBULATORIO DE ESPECIALIDADES DA UNCISAL;TRAPICHE DA BARRA;2;E;1;36;Público;270430;-9.67151;-35.75702
7130716;NUCLEO RESSOCIALIZADOR DA CAPITAL;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.54955;-35.78613
7130724;CENTRO PSIQUIATRICO JUDICIARIO PEDRO MARINHO SURUAGY;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.54955;-35.78613
7130740;PRESIDIO MASCULINO DE SEGURANCA MEDIA PROFESSOR CYRIDIAO DUR;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.666;-35.735
7130767;PRESIDIO FEMININO SANTA LUZIA;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.54955;-35.78613
7130783;PRESIDIO MASCULINO BALDOMERO CAVALCANTI OLIVEIRA;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.666;-35.735
7286724;PRESIDIO DE SEGURANCA MAXIMA;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.666;-35.735
7296703;COMPLEXO REGULADOR ESTADUAL DE ALAGOAS;JARAGUA;1;E;1;81;Público;270430;-9.666;-35.735
7553382;CENTRAL ESTADUAL DE TRANSPLANTES DE ALAGOAS;TRAPICHE DA BARRA;2;E;1;82;Público;270430;-9.65966;-35.73452
7553390;ORGANIZACAO DE PROCURA DE ORGAOS E TECIDOS OPO;TRAPICHE DA BARRA;2;E;1;82;Público;270430;-9.65966;-35.73452
7652372;FARMACIA DE ACOLHIMENTO HORUS ESPECIALIZADO;FAROL;3;E;1;43;Público;270430;-9.65966;-35.73452
7676824;CENTRO DE ATENCAO PSICOSSOCIAL CAPS CASA VERDE;FAROL;3;E;1;70;Público;270430;-9.65966;-35.73452
7685777;NUCLEO DE TELESSAUDE DE ALAGOAS;JARAGUA;1;E;1;75;Público;270430;-9.65966;-35.73452
7696124;CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS CAPSAD;FAROL;3;E;1;70;Público;270430;-9.65966;-35.73452
7361831;USB 06 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7361874;USB 09 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7361963;USB 07 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7362951;USB 02 MACEIO;CENTRO;2;E;1;42;Público;270430;-9.64466;-35.73769
2008785;UPA 24 HORAS JACINTINHO PORTE 3;JACINTINHO;5;E;1;73;Público;270430;-9.64615;-35.7206
7301499;MOTOLANCIA 02 SAMU MACEIO;FAROL;3;E;1;42;Público;270430;-9.666;-35.735
2006510;HOSPITAL GERAL DO ESTADO DR OSVALDO BRANDAO VILELA;TRAPICHE DA BARRA;2;E;1;05;Público;270430;-9.67452;-35.75763
3439208;CENTRO DE ESPECIALIZACAO EM REABILITACAO CER III;TRAPICHE DA BARRA;2;E;1;36;Público;270430;-9.67148;-35.75703
3460037;AMBULATORIO 24 HORAS NOELIA LESSA;LEVADA;2;E;1;20;Público;270430;-9.66222;-35.7448
7031599;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS DE MACEIO;FAROL;3;E;1;76;Público;270430;-9.66625;-35.73509
7256019;NUCLEO DE ATENCAO SAUDE SERVIDOR NASS;JARAGUA;1;E;1;02;Público;270430;-9.666;-35.735
9284788;PENITENCIARIA DE SEGURANCA MAXIMA;TABULEIRO DO PINTO;7;E;1;02;Público;270430;-9.6661585;-35.7307398
9284818;GERENCIA DE SAUDE DO SISTEMA PRISIONAL;TABULEIRO DOS MARTINS;7;E;1;02;Público;270430;-9.5747625;-35.7652532
7301367;MOTOLANCIA 01 SAMU MACEIO;FAROL;3;E;1;42;Público;270430;-9.666;-35.735
7060815;USA 01 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7060823;USA 02 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7060858;USA 05 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7392141;USB 04 MACEIO;FAROL;3;E;1;42;Público;270430;-9.6267736;-35.7395834
7610564;USA 04 MACEIO;FAROL;3;E;1;42;Público;270430;-9.6267736;-35.7395834
7827334;CONSULTORIO ODONTOLOGICO THIAGO MARQUES DE MESQUITA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7827385;CONSULTORIO ODONTOLOGICO SYLVIA ROGERS;PONTA VERDE;1;M;0;22;Privado;270430;-9.6589866;-35.7052411
7827482;CDENT;JATIUCA;1;M;0;22;Privado;270430;-9.6509167;-35.7065576
7827695;ESPACO VIVER;PITANGUINHA;3;M;0;22;Privado;270430;-9.6392835;-35.7334701
7828357;A2 ODONTOLOGIA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7837763;UNIRIM AL;GRUTA DE LOURDES;3;M;0;36;Privado;270430;-9.6203539;-35.7358696
7837941;NUCLEO TELESSAUDE MACEIO 1 MACRO;POCO;1;M;1;75;Público;270430;-9.6660572;-35.7301551
7838220;CONSULTORIO DE PSICOLOGIA FABIANNE TENORIO QUITILIANO;FAROL;3;M;0;22;Privado;270430;-9.637092;-35.7197409
7838360;CONSULTORIO DE PSICOLOGIA MARIA CICERA OLIVEIRA LIMA;FAROL;3;M;0;22;Privado;270430;-9.657062;-35.7312423
7838395;REABILITA FISIO;JATIUCA;1;M;1;36;Privado;270430;-9.6503624;-35.7101774
7838409;TERAPYS DALMA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7838476;CONSULTORIO NELSON CUYABANO;MANGABEIRAS;1;M;0;22;Privado;270430;-9.6411112;-35.7105895
7838689;OCULAR;MANGABEIRAS;1;M;0;07;Privado;270430;-9.6469053;-35.7122406
7838859;CEDH;JATIUCA;1;M;0;36;Privado;270430;-9.6509167;-35.7065576
7841027;FAM DOWN REABILITACAO;PINHEIRO;3;M;0;36;Privado;270430;-9.6300519;-35.7425415
7842155;REAL LABORATORIO;GRUTA DE LOURDES;3;M;0;39;Privado;270430;-9.6265636;-35.732016
7842171;BEM ESTAR NUTRICAO;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7842724;ESCOLA ESPECIAL PESTALOZZI DE MACEIO;VILLAGE II;7;M;0;36;Privado;270430;-9.5552004;-35.7663627
7844549;CEV CENTRO DE EXCELENCIA DA VIDA;FAROL;3;M;0;36;Privado;270430;-9.6475465;-35.7314014
7852304;ODONTO MAX;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7995377;FUNBRASIL;JACINTINHO;5;M;0;36;Privado;270430;-9.6533401;-35.7256725
7996829;IMIC;POCO;1;M;0;04;Privado;270430;-9.6336301;-35.743418
7884672;HISTOCON;FAROL;3;M;1;39;Privado;270430;-9.6560406;-35.7317153
7884737;PROVENCE;GRUTA DE LOURDES;3;M;0;77;Privado;270430;-9.6206629;-35.7363197
7885075;FISIOREABILITAR;POCO;1;M;0;22;Privado;270430;-9.660212;-35.7267524
7885156;CONSULTORIO WELMA WANDERLEY;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7885164;CLIOM;CENTRO;2;M;0;36;Privado;270430;-9.6671367;-35.7379583
7885474;CONSULTORIO DE PSICOLOGIA MARIA IOLANDA;FAROL;3;M;0;22;Privado;270430;-9.6383229;-35.743418
7885482;CONSULTORIO DE NUTRICAO ANA CLAUDIA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7888384;CONSULTORIO DANIEL LAGES;CENTRO;2;M;0;22;Privado;270430;-9.6610332;-35.7406571
9000755;UBS JORGE DUARTE QUINTELA CAVALCANTE 7 DS;CIDADE UNIVERSITARIA;7;M;1;02;Público;270430;-9.5841383;-35.7652532
9003738;CONSUILTORIO ODONTOLOGICO ALYSON FERRAZ;MANGABEIRAS;1;M;0;22;Privado;270430;-9.6470901;-35.7140676
9005129;REABILIT;PONTA VERDE;1;M;0;22;Privado;270430;-9.6567397;-35.7052259
9005412;CLINDENT;BENEDITO BENTES;6;M;0;22;Privado;270430;-9.5410775;-35.7229421
7900570;CLINICA DR PAULO DE JESUS;CENTRO;2;M;0;36;Privado;270430;-9.6656757;-35.7412484
9010068;SOBS;TABULEIRO DOS MARTINS;7;M;0;22;Privado;270430;-9.5619889;-35.7543363
9010157;PSICONSULT;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9010904;CONSULTORIO DE PSICOLOGIA AMANDY MACHADO;MANGABEIRAS;1;M;0;22;Privado;270430;-9.6450919;-35.7093389
7909365;ESPACO VIVA;FAROL;3;M;0;22;Privado;270430;-9.6617551;-35.7339508
7910371;CONSULTORIO ODONTOLOGICO DANNYELE CYNTHIA;BOM PARTO;4;M;0;22;Privado;270430;-9.6487205;-35.7447829
7910606;PROCLINICO;BENEDITO BENTES;6;M;0;39;Privado;270430;-9.5410775;-35.7229421
7910681;PROCLINICO;PONTA VERDE;1;M;0;39;Privado;270430;-9.6589866;-35.7052411
7911238;UPA TRAPICHE DA BARRA;PONTA GROSSA;2;M;1;73;Público;270430;-9.6630702;-35.7573198
7913222;JGML;JATIUCA;1;M;0;22;Privado;270430;-9.6469552;-35.7089127
7913508;CONSULTORIO MARY LANE CARVALHO;JATIUCA;1;M;0;22;Privado;270430;-9.6509167;-35.7065576
7913524;CONSULTORIO JULIANA BRASIL;JATIUCA;1;M;0;22;Privado;270430;-9.6509167;-35.7065576
7913621;GUIMARAES E SAMPAIO PSICOLOGAS ASSOCIADAS S S LTDA;FAROL;3;M;0;22;Privado;270430;-9.6522498;-35.7351028
9017038;CTA;FAROL;3;M;0;36;Privado;270430;-9.6443137;-35.7324982
9022465;UDA DIVALDO SURUAGY 5 DS;BARRO DURO;5;M;1;02;Público;270430;-9.6174501;-35.7215769
9027092;UNID DE SAUDE DOCENTE ASSIST JOSE LAJES FILHO UNIT 8 DS;CRUZ DAS ALMAS;8;M;1;02;Público;270430;-9.6294255;-35.6997298
7915640;CONSULTORIO DE PSICOLOGIA ARNALDINA FERNANDES;FAROL;3;M;0;22;Privado;270430;-9.6493878;-35.7358963
7921853;SER ONCOLOGIA SERVICO ESP DE REABILITACAO EM ONCOLOGIA;PONTA VERDE;1;M;0;36;Privado;270430;-9.6616448;-35.7051921
9035672;ONCODONTO;CENTRO;2;M;0;22;Privado;270430;-9.6668993;-35.7374642
9035680;CONSULTORIO DE PSICOLOGIA ROSANA LUCIA PEDROSA;FAROL;3;M;0;22;Privado;270430;-9.6434715;-35.73443
7925190;ODONTOMED;CENTRO;2;M;0;36;Privado;270430;-9.6677747;-35.7341339
7926537;CONSULTORIO DE PSICOLOGIA ELIENE MARTINIANO;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7926782;FUNCAE;BARRO DURO;5;M;0;36;Privado;270430;-9.6174501;-35.7215769
7926901;CONSULTORIO DEPSICOLOGIA CHRISTIANE ROBERTA;JATIUCA;1;M;0;22;Privado;270430;-9.6550749;-35.7089568
7927673;IPC LABORATORIO MEDICO;PONTA VERDE;1;M;0;39;Privado;270430;-9.6616448;-35.7051921
9034307;INTEGRAR;FAROL;3;M;1;36;Privado;270430;-9.6600318;-35.7343246
9034528;IRES;JATIUCA;1;M;0;36;Privado;270430;-9.6469552;-35.7089127
9047220;CLINICA EQUILIBRIUM;JATIUCA;1;M;0;22;Privado;270430;-9.651182;-35.6997963
9047379;CONSULTORIO DE PSICOLOGIA ELISA BARROS;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9047387;CONSULTORIO ODONTOLOGICO ANDREA PAIVA;CENTRO;2;M;0;22;Privado;270430;-9.6671367;-35.7379583
9050191;DS ODONTOLOGIA;CLIMA BOM;7;M;0;22;Privado;270430;-9.5721617;-35.7779801
7931980;CONSULTORIO DE PSICOLOGIA JOAO PAULO;POCO;1;M;0;22;Privado;270430;-9.6607076;-35.7229421
7931999;CONSULTORIO ODONTOLOGICO ALESSANDRA DE SOUZA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7942834;CENTRO MEDICO E ODONTOLOGICA LAGOAMAR;GRUTA DE LOURDES;3;M;0;36;Privado;270430;-9.6255407;-35.7324982
7943253;NEOLAB;FAROL;3;M;0;39;Privado;270430;-9.6443137;-35.7324982
9053301;BIOLAB CENTRO DE APOIO MEDICO E LABORATORIAL;CLIMA BOM;7;M;0;39;Privado;270430;-9.5721617;-35.7779801
9053891;CONSULTORIO ODONTOLOGICO ROSA MARIA MATIAS;CENTRO;2;M;0;22;Privado;270430;-9.6671367;-35.7379583
9053956;CONSULTORIO ODONTOLOGICO MARTA MARIA PEREIRA;CENTRO;2;M;0;22;Privado;270430;-9.6671367;-35.7379583
9056831;CROMMA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9056955;BMB NUTRI;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9056971;UPA BENEDITO BENTES;BENEDITO BENTES;6;M;1;73;Público;270430;-9.557912;-35.7266179
7945655;CONSULTORIO ODONTOLOGICO KARINE LEAHY;PONTA VERDE;1;M;0;22;Privado;270430;-9.6616448;-35.7051921
7955189;CONSULTORIO DE PSICOLOGIA MARCUS MAGNO;MANGABEIRAS;1;M;0;22;Privado;270430;-9.6666227;-35.7368691
7955200;CLINICA ESPERANCA;JACARECICA;8;M;0;36;Privado;270430;-9.6100529;-35.6905446
7956509;INTERCADIO;FAROL;3;M;0;36;Privado;270430;-9.6443137;-35.7324982
7956827;CONSULTORIO RAYNE MOREIRA;FAROL;3;M;0;22;Privado;270430;-9.6454929;-35.7399686
7956835;CONSULTORIO ODONTOLOGICO CLARISSA DE MEDEIROS;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9047700;FIT PILATES;FAROL;3;M;0;22;Privado;270430;-9.650906;-35.7315132
9067663;MED OLHOS CONSULTORIO;CENTRO;2;M;0;22;Privado;270430;-9.6679473;-35.7390168
9057854;GESTAO SAUDE;JACINTINHO;5;M;0;36;Privado;270430;-9.66082191467285;-35.7016296386719
9060731;ODONTO PAJUCARA;PAJUCARA;1;M;0;22;Privado;270430;-9.6682205;-35.7140676
9061215;CONSULTORIO ODONTOLOGICO MICHELLE KELLE;JATIUCA;1;M;0;22;Privado;270430;-9.650473;-35.7138883
9061223;CONSULTORIO ODONTOLOGICO THAISE MARQUES;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9061622;CONSULTORIO ODONTOLOGICO PALMYRA CATARINA COSTA;JATIUCA;1;M;0;22;Privado;270430;-9.651182;-35.6997963
7969287;DANIELA VILELA FISIOTERAPEUTA PELVICA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9074120;MENTESA PSICOTERAPIA E ORIENTACAO VOCACIONAL;FAROL;3;M;0;22;Privado;270430;-9.6590276;-35.7321579
9074414;CONSULTORIO JOSE GILSON ROCHA SANTOS;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9074481;CONSULTORIO DE PSICOLOGIA PRISCILA INGRID GUSMAO;GRUTA DE LOURDES;3;M;0;22;Privado;270430;-9.6158315;-35.7361061
9074503;CONSULTORIO DE PSICOLOGIA ANDREIA FLORES;FAROL;3;M;0;22;Privado;270430;-9.6590276;-35.7321579
7974582;INTERAGE ATENDIMENTOS PSICOLOGICOS SS LTDA;FAROL;3;M;0;22;Privado;270430;-9.6383229;-35.743418
7981171;PREVCLIN ODONTOLOGICA MODERNA E PREVENTIVA;PAJUCARA;1;M;0;22;Privado;270430;-9.6682205;-35.7140676
7981376;CONSULTORIO ODONTOLOGICO JESSIKA MARQUES MOURA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
7981384;C C CONSULTORIA E COMUNICACAO EM PSICOLOGIA;FAROL;3;M;0;22;Privado;270430;-9.6522498;-35.7351028
7982488;VILA OLIMPICA ALBANO FRANCO;BOM PARTO;4;M;0;22;Privado;270430;-9.6487205;-35.7447829
7856717;CONSULTORIO DRA RAFAELA ALVES;JATIUCA;1;M;0;22;Privado;270430;-9.6041909;-35.7406952
7857756;STUDIO PILATES E RPG;SERRARIA;5;M;0;22;Privado;270430;-9.6627641;-35.7546572
6388523;CONSULTORIO MEDICO DE ACUNPUNTURA;JATIUCA;1;M;0;22;Privado;270430;-9.64793;-35.70639
6817017;PRONEFRON;FAROL;3;M;1;36;Privado;270430;-9.64791;-35.70639
7863403;CONSULTORIO ARIANA DE HOLANDA;JACINTINHO;5;M;0;22;Privado;270430;-9.6533401;-35.7256725
7863411;ORTOCENTER;PONTA VERDE;1;M;0;36;Privado;270430;-9.6616448;-35.7051921
9098720;SALUTTI DIAGNOSTICO TRATAMENTO;GRUTA DE LOURDES;3;M;0;39;Privado;270430;-9.6234743;-35.7372619
9078355;ODONTOMED;GRUTA DE LOURDES;3;M;0;22;Privado;270430;-9.6269505;-35.7382538
9078363;PONTA VERDE DENTAL CENTER;PONTA VERDE;1;M;0;22;Privado;270430;-9.6616448;-35.7051921
9078371;SALUTTI DIAGNOSTICO TRATAMENTO;JATIUCA;1;M;0;39;Privado;270430;-9.647974;-35.7069167
9078746;INSTITUTO DE OLHOS ESPECIALIZADO;TABULEIRO DOS MARTINS;7;M;0;22;Privado;270430;-9.5753801;-35.7809825
9082344;ODONTOSER;GRUTA DE LOURDES;3;M;0;22;Privado;270430;-9.624392;-35.7296479
9089527;CLINVIDA;PONTA DA TERRA;1;M;0;04;Privado;270430;-9.6640301;-35.7147503
9106367;CONSULTORIO ODONTOLOGICO JUNLIANA PEIXOTO SANTA RITA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9106375;CRPA CLINICA RADIOLOGICA POPULAR ALAGOANA;FAROL;3;M;0;36;Privado;270430;-9.6525826;-35.7313796
9109900;CONSULTORIO DE PSICOLOGIA SERGIO TENORIO DE OLIVEIRA;FAROL;3;M;0;22;Privado;270430;-9.6466497;-35.7401345
9109943;RINONED;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9110062;CONSULTORIO DE FISIOTERAPIA NATALIANA DA SILVA;JATIUCA;1;M;0;22;Privado;270430;-9.6534619;-35.7126188
9111220;CONSULTORIO ODONTOLOGICO MARIA DO SOCORRO FERREIRA;BOM PARTO;4;M;0;22;Privado;270430;-9.6487205;-35.7447829
9111271;CAVALCANTE CLINICA MEDICA LTDA;FEITOSA;5;M;0;22;Privado;270430;-9.628825;-35.7168
9114807;UBS DR WALTER DE MOURA LIMA 7 DS;SANTA AMELIA;4;M;1;02;Público;270430;-9.5868893;-35.7816256
9136096;IPC LABORATORIO MEDICO;JATIUCA;1;M;0;39;Privado;270430;-9.6429093;-35.7058336
9136290;ESPACO GENTE;FAROL;3;M;0;36;Privado;270430;-9.6522498;-35.7351028
9145850;FISIOHEALTH;CENTRO;2;M;0;04;Privado;270430;-9.6698356;-35.7427819
9158251;PAM SALGADINHO SEDE;CENTRO;2;M;1;04;Público;270430;-9.6660572;-35.7301551
9149015;CONSULTORIO PSICOLOGICO ROSEANE DE ALMEIDA MENDONCA;PONTA VERDE;1;M;0;22;Privado;270430;-9.6522498;-35.7351028
9154884;IMUNILAB;MANGABEIRAS;1;M;1;39;Privado;270430;-9.6470901;-35.7140676
9155147;CONSULTORIO SUENNY BARROS FERRASO;FAROL;3;M;0;22;Privado;270430;-9.6553553;-35.7332729
9189491;CLINICA ODONTOLOGICA LIDIA VIRGINIA;JATIUCA;1;M;0;22;Privado;270430;-9.647974;-35.7069167
9196129;SONOGRAPH;PINHEIRO;3;M;0;36;Privado;270430;-9.6336301;-35.743418
9197729;RECRIAR;PINHEIRO;3;M;0;22;Privado;270430;-9.6336301;-35.743418
9131205;CONSULTORIO ODONTOLOGICO JOSE LUIS SALCEDO IBANES;PAJUCARA;1;M;0;22;Privado;270430;-9.6682205;-35.7140676
9169075;NEWRAD RADIOLOGIA DIAGNOSTICA LTDA EPP;GRUTA DE LOURDES;3;M;0;36;Privado;270430;-9.6203539;-35.7358696
2003341;AAPPE;JATIUCA;1;M;1;36;Privado;270430;-9.65124;-35.71569
2005565;CENTRO DE SAUDE DJALMA LOUREIRO 7 DS;CLIMA BOM;7;M;1;04;Público;270430;-9.61929;-35.72188
2005573;PAM BEBEDOURO 4 DS;BEBEDOURO;4;M;1;04;Público;270430;-9.56399;-35.72382
2005603;CENTRO DE SAUDE DA PITAGUINHA 3 DS;PITANGUINHA;3;M;1;04;Público;270430;-9.64157;-35.73186
2005662;CAPS DR SADI FEITOSA DE CARVALHO;BEBEDOURO;4;M;1;70;Público;270430;-9.62539;-35.75192
2005743;POSTO DE SAUDE DA COMURB;CENTRO;2;M;0;02;Público;270430;-9.6683;-35.73383
2005859;INSTITUTO DE UROLOGIA;FAROL;3;M;1;39;Privado;270430;-9.62107;-35.73681
2005867;CAPSI LUIZ DA ROCHA CERQUEIRA;SERRARIA;5;M;1;70;Público;270430;-9.60488;-35.71584
2005956;LACIT;PINHEIRO;3;M;1;39;Privado;270430;-9.63598;-35.73646
2005964;CENTRAL DE SAUDE;PRADO;2;M;1;04;Privado;270430;-9.66817;-35.74013
2005972;LABOAL;BENEDITO BENTES I;6;M;1;39;Privado;270430;-9.54579;-35.71757
2005980;PALACIO DO TRABALHADOR;CENTRO;2;M;0;02;Privado;270430;-9.66378;-35.74157
2006294;CLINICA GURI;CAMBONA;#N/D;M;1;36;Privado;270430;-9.65278;-35.74106
2006340;CASA DE SAUDE SANTO ANTONIO;CENTRO;2;M;1;05;Privado;270430;-9.65841;-35.73925
2006359;HOSPITAL SANATORIO;FAROL;3;M;1;05;Privado;270430;-9.6288;-35.74152
2006391;CASA DE SAUDE MIGUEL COUTO;BEBEDOURO;4;M;1;07;Privado;270430;-9.63631;-35.74773
2006405;CASA DE SAUDE E MATERNIDADE NOSSA SR DE FATIMA;JARAGUA;1;M;1;05;Privado;270430;-9.66888;-35.72972
2006413;CASA DE SAUDE E CLINICA DE REPOUSO ULYSSES PERNAMBUCANO;BEBEDOURO;4;M;1;07;Privado;270430;-9.62867;-35.75062
2006421;HOSPITAL ORTOPEDICO DE MACEIO;FAROL;3;M;1;05;Privado;270430;-9.66253;-35.7348
2006448;HOSPITAL DO ACUCAR;FAROL;3;M;1;05;Privado;270430;-9.62995;-35.73754
2006456;INSTITUTO DA MAMA DE ALAGOAS;MANGABEIRAS;1;M;0;36;Privado;270430;-9.66219;-35.70157
2006464;CLION CLINICA DE ONCOLOGIA DE MACEIO;FAROL;3;M;0;36;Privado;270430;-9.64871;-35.73282
2006472;HOSPITAL MEMORIAL ARTHUR RAMOS;FAROL;3;M;1;05;Privado;270430;-9.62107;-35.73681
2006480;CAIXA BENEFICENTE DOS SERV MILITARES DO ESTADO DE ALAGOAS;CENTRO;2;M;1;04;Privado;270430;-9.6658;-35.74281
2006499;INSTITUTO DA VISAO;FAROL;3;M;1;07;Privado;270430;-9.66888;-35.72972
2006812;CLINICA DE MEDICINA FISICA DE ALAGOAS;CENTRO;2;M;1;39;Privado;270430;-9.66651;-35.73214
2006847;UNIDADE A PELE;FAROL;3;M;0;39;Privado;270430;-9.64757;-35.70373
2006855;DIAGNOSE;FAROL;3;M;1;39;Privado;270430;-9.64554;-35.73735
2006871;ENDOGASTRICA;FAROL;3;M;1;39;Privado;270430;-9.6288;-35.74152
2006901;AMIC;FAROL;3;M;0;22;Privado;270430;-9.66625;-35.73509
2006928;ADEFAL;FAROL;3;M;1;36;Privado;270430;-9.64185;-35.73728
2006936;APAE MACEIO;TRAPICHE DA BARRA;2;M;1;36;Privado;270430;-9.66529;-35.74204
2006944;HOSPITAL DE OLHOS SANTA LUZIA;GRUTA DE LOURDES;3;M;1;07;Privado;270430;-9.61681;-35.73867
2006952;CLINICA DE DOENCAS RENAIS LTDA;FAROL;3;M;1;36;Privado;270430;-9.6288;-35.74152
2006960;HOSPITAL VIDA;PONTA VERDE;1;M;1;05;Privado;270430;-9.65451;-35.70395
2006979;INSTITUTO DE OLHOS DE MACEIO;FAROL;3;M;1;07;Privado;270430;-9.6621;-35.73367
2006987;SINDICATO TRAB MINERIO PETROLEO;LEVADA;2;M;0;22;Privado;270430;-9.66492;-35.74592
2006995;LABORATORIO PAULO SARMENTO;CENTRO;2;M;0;39;Privado;270430;-9.66867;-35.74192
2007002;LABORATORIO PASTEUR PAT CL MA;CENTRO;2;M;0;39;Privado;270430;-9.66703;-35.73727
2007010;CLINICA FLEMING;CENTRO;2;M;0;39;Privado;270430;-9.66191;-35.73764
